No,Istilah Indonesia,Istilah Inggris
1,Undang-Undang,Law
2,Peraturan Pemerintah Pengganti Undang-Undang (Perpu),Government Regulation in Lieu of Law
3,Peraturan Pemerintah (PP),Government Regulation
4,Peraturan Presiden (Perpres),Presidential Regulation / Regulation of The President of The Republic of Indonesia
5,Peraturan Menteri,Ministerial Regulation / Regulation of The Minister of The Republic of Indonesia
6,Peraturan Daerah (Perda),Regional Regulation
7,Peraturan Provinsi,Provincial Regulation / Regulation of The Province of
8,Peraturan Kabupaten / Kota,Regency / Municipal Regulation
9,Kabupaten / Kota,Regency / Municipality
10,Peraturan Desa,Village Regulation / Regulation of The Village of
11,Nomor Tahun,Number of
12,Tentang,On
13,Perubahan Atas,Amendment to
14,Pencabutan,Repeal of
15,Pengesahan Perjanjian Antara,Ratification of Agreement Between
16,Dengan Rahmat Tuhan Yang Maha Esa,By the Blessings of the Almighty God
17,Menimbang,Considering
18,Bahwa,That
19,Perlu Membentuk [Undang-Undang],It is necessary to establish [Law]
20,Perlu Menetapkan [Peraturan Presiden],It is necessary to issue the [Presidential Regulation]
21,Untuk Melaksanakan Ketentuan,To implement the provisions of
22,"Ditetapkan Menjadi [Undang-Undang], dan Melampirkannya Sebagai Bagian yang Tidak Terpisahkan dari [Undang-Undang] Ini","Be enacted into [Law], and attach it as an integral part of this [Law]"
23,Mengingat,Observing
24,Dengan Persetujuan Bersama Antara DPR dan Presiden RI,With The Joint Approval of The House of Representatives and The President of The Republic of Indonesia
25,Memutuskan,Has Decided
26,Menetapkan,To Enact
27,Ketentuan Umum,General Provision(s)
28,Ketentuan Pidana,Criminal Provision(s)
29,Ketentuan Peralihan,Transitional Provision(s)
30,Ketentuan Penutup,Closing Provision(s)
31,Ketentuan Lain-Lain,Miscellaneous Provision(s)
32,"Dalam [Undang-Undang] Ini, yang Dimaksud Dengan",In this [Law]
33,Buku,Book
34,Bab,Chapter
35,Bagian,Part / Section
36,Paragraf,Paragraph / Sub-section
37,Pasal,Article
38,Ayat,Section / Paragraph
39,Huruf / Angka,Point
40,Butir,Item
41,"Agar Setiap Orang Mengetahuinya, Memerintahkan Pengundangan Ini dengan Penempatannya Dalam","In order that every person may know hereof, it is ordered to promulgate this by its placement in"
42,Disahkan di,Enacted in
43,Ditetapkan di,Issued in
44,Diundangkan di,Promulgated in
45,Lembaran Negara Republik Indonesia,State Gazette of The Republic of Indonesia
46,Berita Negara Republik Indonesia,Bulletin Gazette of The Republic of Indonesia
47,Tambahan,Supplement to
48,Lembaran Daerah,Regional Gazette of
49,Berita Daerah,Regional Official Gazette of
50,Penjelasan Atas,Elucidation of
51,Penjelasan Umum,General
52,Penjelasan Pasal Demi Pasal / Penjelasan Pasal Per Pasal,Article by Article
53,Cukup Jelas,Sufficiently Clear
54,Yang Dimaksud Dengan Adalah,The term means
55,Yang Selanjutnya Disingkat,Hereinafter referred to as
56,Sebagaimana Telah Diubah Dengan,As amended by
57,"Sebagaimana Telah Diubah Beberapa Kali, Terakhir Dengan",As frequently amended and last by
58,Sesuai Dengan [Ketentuan yang Berlaku],In accordance with
59,Dalam Hal,In the event that/of
60,Ini Mulai Berlaku Pada Saat Diundangkan,Come into force on the date of its promulgation
61,Pada Saat Ini Mulai Berlaku,At the time when this comes into force
62,Masih Tetap Berlaku Sepanjang,Remain in effect insofar
63,Dicabut dan Dinyatakan Tidak Berlaku,Repealed and declared ineffective
64,Ditarik Kembali dan Dinyatakan Tidak Berlaku,Repealed and declared ineffective
65,Setiap Orang,Any person
66,Meliputi / Tidak Meliputi,To include / exclude
67,Selain (Bermakna Tambahan Bukan Kecuali),In addition to
68,Dan/Atau,And/or
69,Berwenang,To have authority over / to
70,Berhak,Be entitled to
71,Dapat,May
72,Wajib,Be required to
73,Harus,Must
74,Dilarang,Be prohibited from
75,Dihapus,Deleted
76,Ayat Sampai Dengan Ayat,Section to Section / Paragraph to Paragraph
77,Sebagaimana Dimaksud Dalam [Pasal/Ayat],Referred to in
78,Dinyatakan Masih Tetap Berlaku Sepanjang Tidak Bertentangan Dengan Ketentuan Dalam,Declared to remain effective to the extent not contrary to the provisions of the
79,"Dinyatakan Tetap Berlaku, Kecuali","Declared effective, except"
80,Dipidana Dengan,Sentenced to / with / subject to
81,Pidana Penjara,Imprisonment for a term of
82,Denda,A fine of
83,Paling Singkat,Minimum
84,Paling Lama,Maximum
85,Paling Lambat / Selambat-Lambatnya,Not later than
86,Paling Rendah / Paling Sedikit,Lowest
87,Paling Tinggi / Paling Banyak,Highest
88,Terhitung Sejak,Commencing from
89,Kecuali,Except
90,Pengaturan/Ketentuan Tentang Diatur Lebih Lanjut Dalam/Dengan,Further provisions on be regulated in/by
91,Lampiran,Annex
92,Peraturan Perundang-undangan,Laws and Regulations
93,Badan,Agency / Body / Board
94,Dikenai Sanksi,Be subject to sanction
95,UUD 1945,The 1945 Constitution of The Republic of Indonesia
96,Berdasarkan,Based on / According to / Under
97,Dalam Rangka,In order to / for
98,Tata Urutan Peraturan Perundang-Undangan,Hierarchy of Laws
99,APBN,State Budget
100,APBD,Regional Budget
101,Pendapatan Asli Daerah (PAD),Regional Revenue
102,Badan Usaha,Business Entity
103,Badan Hukum,Legal Entity
104,Individual Hukum,Natural / Individual Person
105,Batal Menurut Hukum,Null and Void
106,Bantuan Hukum,Legal Aid / Assistance
107,Hak Istimewa,Exclusive Right
108,Hukum Perdata,Civil Law
109,Hukum Pidana,Criminal Law
110,Ketidakpastian Hukum,Legal Uncertainty
111,KUHAP,Criminal-Law Procedural Code
112,KUHP,Criminal Code
113,KUH Perdata,Civil Code
114,Memberi Kuasa Kepada,Grant Power(s) / Authority to
115,Menindaklanjuti Putusan Pengadilan,To Enforce The Court Judgement
116,Penetapan Pengadilan,Court Decree
117,Putusan Pengadilan Yang Umum,Court Decision
118,Naskah Akademik,Academic Draft
119,Perancang Peraturan PUU,Legislative / Legal Drafter
120,Partisipasi Masyarakat,Public Participation
121,Negara Hukum,Constitutional State
122,Pelanggaran,Breach
123,Pemblokiran (Rekening),Freezing
124,Pembekuan (Aset Lainnya),Freezing
125,Penyitaan,Confiscation
126,Perampasan,Forfeiture
127,Pembentukan,Forming / Establishment / The Making
128,Pemberi Kuasa / Yang Diberi Kuasa,Principal Full Power / Procurator
129,Penegak Hukum,Law Enforcement Officer
130,Pengampunan,Amnesty
131,Penggugat,Plaintiff / Claimant
132,Tergugat,Defendant / Respondent
133,Penyelidikan,Preliminary Investigation / Pre-Investigation
134,Penyidikan,Investigation
135,Praduga Tak Bersalah,Presumption of Innocence
136,Perbuatan Melawan Hukum,Illegal Act / Tort
137,Perkara Pidana,Criminal Trial
138,Sidang Perkara Pidana,Criminal Proceeding
139,Surat Kuasa,Power of Attorney / Volmacht
140,Tembusan,Carbon Copy
141,Tindak Pidana,Criminal Act / Crime
142,Tuntutan Pidana,Criminal Charge
143,Yang Menerima Bantuan Hukum,Legal Aid Recipient
144,Uji Materi,Constitutional Review
145,Peninjauan Kembali,Judicial Review
146,Kekuasaan Pemerintahan Negara,Executive Power
147,Kekuasaan Kehakiman,Judicial Power
148,Pertahanan Negara,National Defence
149,Nota Kesepakatan,Letter of Intent
150,"Menteri Kordinator Bidang Politik, Hukum dan Keamanan (Menkopolhukam)","Coordinating Minister for Political, Legal, and Security Affairs"
151,Menteri Kordinator Bidang Perekonomian,Coordinating Minister for The Economic Affairs
152,Menteri Kordinator Bidang Pembangunan Manusia dan Kebudayaan,Coordinating Minister for Human Development and Cultural
153,Menteri Koordinator Bidang Kemaritiman dan Sumber Daya,Coordinating Minister for Maritime Affairs
154,Kementerian Sekretaris Negara (Kemensesneg),Ministry of The State Secretariat
155,Kementerian Agama (Kemenag),Ministry of Religious Affairs
156,Kementerian Sumber Daya Mineral dan Energi (Kemenesdm),Ministry of Energy and Mineral Resources
157,Kementerian Luar Negeri (Kemenlu),Ministry of Foreign Affairs
158,Kementerian Hukum dan Hak Asasi Manusia (Kemenkumham),Ministry of Law and Human Rights
159,Kementerian Lingkungan Hidup dan Kehutanan (Kemenlhk),Ministry of Environment and Forestry
160,Kementerian Kesehatan,Ministry of Health
161,Kementerian Keuangan,Ministry of Finance
162,Kementerian Pertahanan (Kemenhan),Ministry of Defense
163,Kementerian Industri,Ministry of Industry
164,Kementerian Sosial (Kemensos),Ministry of Social Affairs
165,Kementerian Tenaga Kerja (Kemenaker),Ministry of Manpower
166,Kementerian Dalam Negeri (Kemendagri),Ministry of Home Affairs
167,Kementerian Kelautan dan Perikanan,Ministry of Maritime and Fisheries Affairs
168,Kementerian Pariwisata (Kemenpar),Ministry of Tourism
169,Kementerian Komunikasi dan Informatika (Kemenkominfo),Ministry of Communication and Informatics
170,Kementerian Pekerjaan Umum dan Perumahan Rakyat,Ministry of Public Works and Public Housing
171,Kementerian Perhubungan (Kemenhub),Ministry of Transportation
172,Kementerian Pendidikan dan Kebudayaan (Kemendikbud),Ministry of Education and Culture
173,Kementerian Perdagangan (Kemendag),Ministry of Trade
174,Kementerian Pertanian (Kementan),Ministry of Agriculture
175,"Kementerian Riset, Teknologi dan Pendidikan Tinggi","Ministry of Research, Technology and Higher Education"
176,Kementerian Koperasi dan Usaha Kecil Menengah (Kemenkop UKM),Ministry of Cooperation and Small and Medium Enterprises
177,Kementerian Pemberdayaan Wanita dan Perlindungan Anak,Ministry of Female Empowerment and Child Protection
178,Kementerian Pemberdayaan Aparatur Negara dan Reformasi Birokrasi,Ministry of The Administrative and Bureaucratic Reform
179,"Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi","Ministry of Village, Disadvantaged Regions and Transmigration"
180,Kementerian Perencanaan dan Pembangunan Nasional,Ministry of National Development Planning (Chairperson of National Development Planning Agency)
181,Kementerian BUMN,Ministry of State Owned Enterprises
182,Kementerian Agraria dan Tata Ruang,Ministry of Land and Spatial Planning
183,Kementerian Pemuda dan Olah Raga (Kemenpora),Ministry of Youth and Sports Affairs
184,Otoritas Jasa Keuangan (OJK),Financial Services Authority
185,Tentara Nasional Indonesia (TNI),Indonesian National Army
186,Polisi Republik Indonesia (Polri),Indonesian National Police
187,Komisi Pemberantasan Korupsi (KPK),The Corruption Eradication Commission
188,Mahkamah Konstitusi,Constitutional Court
189,Mahkamah Agung,Supreme Court
190,Pengadilan Agama,Religious Court
191,Pengadilan Militer,Military Court
192,Pengadilan Negeri,District Court / Local Court
193,Pengadilan Niaga,Commercial Court
194,Pengadilan Tata Usaha Negara,Administrative Court
195,Kejaksaan Negeri,District Attorney Office
196,Kejaksaan Tinggi,High Public Prosecutor Office
197,Jaksa Agung,Attorney General
198,Kejaksaan Agung,Office of The Attorney General
199,Kejaksaan RI,Public Prosecution Office of The Republic of Indonesia
200,Jaksa Penuntut Umum,Prosecutor
201,Pengadilan Tinggi,High Court
